ewe_name	EN_ewe_name	botanical_name	spiritual_affiliation	EP	energetic_polarity	ritual_function	ifa_prescription	habitat_character	sources	GBIF	IUCN 	X	Y
Ewé awẹdẹ	rock rose, pinklady	Dissotis rotundifolia	Òṣun, Yemọja, Òbàtálá	cool	classified as "cool" to calms heated emotions and purifies moral or ritual impurity	used to “wash away death” (wẹ́ ikú kúrò), negative dreams, or bad fortune. In community rituals it unites people after tension	Odu Òtúrá Méjì, Ìrètè Òsé	near rivers, moist shade, and fertile soil	Pierre Fatumbi Verger (1995). Ewé: o uso das plantas na sociedade iorubá; Wande Abimbola (1976). Ifá: An Exposition of the Ifá Literary Corpus; Wande Abimbola (1977). Awon Odu Ifá; Bolaji Idowu (1962). Olódùmarè: God in Yoruba Belief; Henry & Margaret Drewal (1983). Gelede: Art and Female Power among the Yoruba; R.C. Abraham (1958). Dictionary of Modern Yoruba;  Oyekan Owomoyela (2005). Yoruba Proverbs; Teresa N. Washington (2005). Our Mothers, Our Powers, Our Texts;	https://www.gbif.org/pt/species/3188496		-200	-232
Ewé ọ̀dúndún	neverdie	Kalanchoe crenata	Òṣun, Yemọja, Òbàtálá,Òrúnmìlà	cool	classified as "cool" to cool the Òrìṣà and calm heated conditions (fífọ̀rùn gbígbóná)	used to calm Òrìṣà shrines after sacrifice	Odu Òfún Méjì, Ìrètè Òtúrá. Òrúnmìlà	moist soil, partial shade, near human dwellings	Verger, Pierre Fatumbi (1995). Ewé: o uso das plantas na sociedade iorubá; Wande Abimbola (1977). Awon Odu Ifá; Bolaji Idowu (1962). Olódùmarè: God in Yoruba Belief; Henry & Margaret Drewal (1983). Gelede: Art and Female Power among the Yoruba; R.C. Abraham (1958). Dictionary of Modern Yoruba; Oyekan Owomoyela (2005). Yoruba Proverbs; 	https://www.gbif.org/pt/species/6441622		119	-241
Ewé tẹ̀tẹ̀	african spinach, green amaranth	Amaranthus hybridus	Òṣun, Òbàtálá, Òrúnmìlà	cool	classified as "cool" to calms excessive spiritual or emotional heat	used to restore equilibrium and attract gentleness, baths for good character, offerings for the head	Odu Ògúndá Méjì, Ìrosùn Òtúrá	cultivated land, near villages	Pierre Fatumbi Verger (1995). Ewé: o uso das plantas na sociedade iorubá; Wande Abimbola (1976). Ifá: An Exposition of the Ifá Literary Corpus; Wande Abimbola (1977). Awon Odu Ifá; Bolaji Idowu (1962). Olódùmarè: God in Yoruba Belief; Henry & Margaret Drewal (1983). Gelede: Art and Female Power among the Yoruba; R.C. Abraham (1958). Dictionary of Modern Yoruba;  Oyekan Owomoyela (2005). Yoruba Proverbs; Teresa N. Washington (2005). Our Mothers, Our Powers, Our Texts;	https://www.gbif.org/species/5384364		132	-42
Ewé rinrin	shining bush plant, pepper elder	Peperomia pellucida	Òṣun, Òbàtálá, Òrúnmìlà	cool	classified as visible "cool" agent to “walks lightly” through the body and spirit, cooling fevers, anger, or agitation	used to restore peace between persons or between human and Òrìṣà after conflict	Odu Òfún Méjì, Ìrètè Òsé	moist soil, pathways, and gardens	Pierre Fatumbi Verger (1995). Ewé: o uso das plantas na sociedade iorubá; Wande Abimbola (1976). Ifá: An Exposition of the Ifá Literary Corpus; Wande Abimbola (1977). Awon Odu Ifá; Bolaji Idowu (1962). Olódùmarè: God in Yoruba Belief; Henry & Margaret Drewal (1983). Gelede: Art and Female Power among the Yoruba; R.C. Abraham (1958). Dictionary of Modern Yoruba;  Oyekan Owomoyela (2005). Yoruba Proverbs; Teresa N. Washington (2005). Our Mothers, Our Powers, Our Texts;	https://www.gbif.org/species/3086412		64	-58
Ewé ọsàn	sweet orange	Citrus sinensis	Òṣun, Ọbalúayé/Ṣànpọ̀nná	cool	classified as "cool" to harmonizes energies and "refreshes the head"	used for love/affection baths. joy ritual, and head cleansing  	Odu Òṣé Òtúrá, Ìrẹtẹ Òsé	cultivated spaces, courtyards, and sacred groves	Pierre Fatumbi Verger (1995). Ewé: o uso das plantas na sociedade iorubá; Wande Abimbola (1976). Ifá: An Exposition of the Ifá Literary Corpus; Wande Abimbola (1977). Awon Odu Ifá; Bolaji Idowu (1962). Olódùmarè: God in Yoruba Belief; Henry & Margaret Drewal (1983). Gelede: Art and Female Power among the Yoruba; R.C. Abraham (1958). Dictionary of Modern Yoruba;  Oyekan Owomoyela (2005). Yoruba Proverbs; Teresa N. Washington (2005). Our Mothers, Our Powers, Our Texts;	https://www.gbif.org/es/species/3190158		-126	-47
Ewé gbẹ́gi	goosegrass	Eleusine indica	Ọ̀ṣun	cool	classified as "cool" to stand gently but unshakably	used for love and harmony baths, protective baths, and sweetening offerings	Odu Ọ̀ṣé Ọ̀túrá, Ọ̀túrá Méjì	woody shrub or tree near water	Pierre Fatumbi Verger (1995). Ewé: o uso das plantas na sociedade iorubá; Wande Abimbola (1976). Ifá: An Exposition of the Ifá Literary Corpus; Wande Abimbola (1977). Awon Odu Ifá; Bolaji Idowu (1962). Olódùmarè: God in Yoruba Belief; Henry & Margaret Drewal (1983). Gelede: Art and Female Power among the Yoruba; R.C. Abraham (1958). Dictionary of Modern Yoruba;  Oyekan Owomoyela (2005). Yoruba Proverbs; Teresa N. Washington (2005). Our Mothers, Our Powers, Our Texts;	https://www.gbif.org/species/2705953	LC	34	-255
Òrí	shea butter tree	Butyrospermum paradoxum	Òbàtálá, Òṣun	cool	classified as "cool" to reduce spiritual “heat,” anger, or confusion	used to harmonize the inner self	Ìrosùn Méjì, Òbàrà Méjì	moist places near homes and shrines	 Pierre Fatumbi Verger (1995). Ewé: o uso das plantas na sociedade iorubá; Wande Abimbola (1976). Ifá: An Exposition of the Ifá Literary Corpus; Wande Abimbola (1977). Awon Odu Ifá; Bolaji Idowu (1962). Olódùmarè: God in Yoruba Belief; Henry & Margaret Drewal (1983). Gelede: Art and Female Power among the Yoruba; R.C. Abraham (1958). Dictionary of Modern Yoruba;  Oyekan Owomoyela (2005). Yoruba Proverbs; Teresa N. Washington (2005). Our Mothers, Our Powers, Our Texts;	https://www.gbif.org/species/2886750	VU	84	-193
Tẹ̀tẹ̀ ẹlẹ́gún	prickly amaranth	Amaranthus spinosus	Egúngún 	cool	classified as "cool" to calm the transition between the living and the ancestral realm	used to ancestral bath, rubbing the masquerade’s costume to cool and sanctify, protecting mediums entering trance, purifying spaces before Egúngún dances	Odu Òyèkú Méjì, Ìrosùn Wòrì	most soil	Pierre Fatumbi Verger (1995). Ewé: O uso das plantas na sociedade iorubá; Wande Abimbola (1976, 1977). Ifá: An Exposition & Awon Odu Ifá; John Morton-Williams (1960). “The Yoruba Egungun Cult”, in Africa: foundational ethnography of Egúngún rites; Henry & Margaret Drewal (1983). Gelede; Henry Drewal (1992). Yoruba Ritual: analysis of coolness in masquerade and possession; Bolaji Idowu (1962). Olódùmarè: on ancestors and coolness; R.C. Abraham (1958). Dictionary of Modern Yoruba; Oyekan Owomoyela (2005). Yoruba Proverbs;	https://www.gbif.org/species/5384401		65	-197
Ewé ṣẹ́gun ṣẹ́tẹ̀	purslane	Portulaca oleracea	Ògún, Ṣàngó	hot	classified as "hot" to confront spiritual attacks, competitions, legal problems, and adversarial forces	used to reach victory through perseverance and clearing difficult paths	Odu Ògúndá Méjì, Ògúndá Bèdè, Ìrẹtẹ Méjì	grows on roadsides or tough terrain	Pierre Verger (1995). Ewé: O uso das plantas na sociedade iorubá; Wande Abimbola (1977). Awon Odu Ifá; Wande Abimbola (1976). Ifá: An Exposition of Ifá Literary Corpus; Bolaji Idowu (1962). Olódùmarè: classification of “hot” and “cool” leaves for deities of war and justice; Henry Drewal (1992). Yoruba Ritual: on “hot” àṣẹ and plants of force; Abraham (1958). Dictionary of Modern Yoruba;	https://www.gbif.org/species/3084719	LC	170	-75
Ewé àpárà	African oil bean	Pentaclethra macrophylla	Ọ̀ṣun	cool	classified as "cool" to call, attract, bind gently	used to work baths with Ọ̀ṣun, unification rituals, reconciliation, social cohesion (especially marriages)	Osé Méjì, Ìrẹtẹ Òsé, Ọ̀bàrà Òsé	grows in wet, fertile soil	 Pierre Fatumbi Verger (1995). Ewé: o uso das plantas na sociedade iorubá; Wande Abimbola (1976). Ifá: An Exposition of the Ifá Literary Corpus; Wande Abimbola (1977). Awon Odu Ifá; Bolaji Idowu (1962). Olódùmarè: God in Yoruba Belief; Henry & Margaret Drewal (1983). Gelede: Art and Female Power among the Yoruba; R.C. Abraham (1958). Dictionary of Modern Yoruba;  Oyekan Owomoyela (2005). Yoruba Proverbs; Teresa N. Washington (2005). Our Mothers, Our Powers, Our Texts;	https://www.gbif.org/species/2943557	LC	35	-264
Ewé abọ rere	coffee Senna	Senna occidentalis (L.) Link	Ọ̀bàtálá, Ọ̀ṣun	cool	classified as "cool" to provides soft, luminous protection, to protect pregnant women, newborns, or peaceful households	used to create protective baths, calm conflict or expel subtle negativity	Òfún Méjì, Òwónrín Méjì, Òtúrá Méjì	grows in shaded, fertile soil	Pierre Verger (1995). Ewé: O uso das plantas na sociedade iorubá; Wande Abimbola (1977). Awon Odu Ifá; Wande Abimbola (1976). Ifá: An Exposition of Ifá Literary Corpus; Bolaji Idowu (1962). Olódùmarè: classification of “hot” and “cool” leaves for deities of war and justice; Henry Drewal (1992). Yoruba Ritual: on “hot” àṣẹ and plants of force; Abraham (1958). Dictionary of Modern Yoruba; Oyekan Owomoyela (2005). Yoruba Proverbs;	https://www.gbif.org/species/2957966	LC	8	-226
